Bash 2,None,None,None,None
Final Scores,None,None,None,None
Rank,Players,Total Score (points),Correct Answers,Incorrect Answers
1.0,zy26,1878.0,2.0,1.0
2.0,jihyeo2,1818.0,2.0,1.0
3.0,yiminw3,1780.0,2.0,1.0
4.0,tw17,1688.0,2.0,1.0
5.0,jessep2,1623.0,2.0,1.0
6.0,luo42,1613.0,2.0,1.0
7.0,pnl2,1608.0,2.0,1.0
8.0,yiyang19,1548.0,2.0,1.0
9.0,jflemi9,1450.0,2.0,1.0
10.0,smvarma2,1360.0,2.0,1.0
11.0,lz15,958.0,1.0,2.0
12.0,ir5,945.0,1.0,2.0
13.0,apillai5,945.0,1.0,2.0
14.0,alyssaf5,943.0,1.0,2.0
15.0,mcy2,940.0,1.0,2.0
16.0,kanavb2,935.0,1.0,2.0
17.0,aehasan2,910.0,1.0,2.0
18.0,ams22,910.0,1.0,2.0
19.0,keweis2,880.0,1.0,2.0
20.0,jplacko2,865.0,1.0,2.0
21.0,jieshuh2,838.0,1.0,2.0
22.0,linjial2,820.0,1.0,2.0
23.0,nikilr2,815.0,1.0,2.0
24.0,ncsmith2,815.0,1.0,2.0
25.0,welby2,773.0,1.0,2.0
26.0,cdeng14,728.0,1.0,2.0
27.0,sajay2,715.0,1.0,2.0
28.0,rpa2,695.0,1.0,2.0
29.0,zc29,668.0,1.0,2.0
30.0,ejr2,655.0,1.0,2.0
31.0,Armaanm3,520.0,1.0,2.0
32.0,isaacjs2,0.0,0.0,3.0
33.0,jk36,0.0,0.0,3.0
34.0,nrk4,0.0,0.0,3.0
35.0,davisp2,0.0,0.0,3.0
36.0,zhans5,0.0,0.0,3.0
37.0,hanxuan5,0.0,0.0,3.0
38.0,tianyiz8,0.0,0.0,3.0
39.0,jz40,0.0,0.0,3.0
