CS 196 SP20 Bash 1,None,None,None,None
Final Scores,None,None,None,None
Rank,Players,Total Score (points),Correct Answers,Incorrect Answers
1.0,rpa2,4244.0,4.0,0.0
2.0,nrk4,4226.0,4.0,0.0
3.0,jflemi9,4152.0,4.0,0.0
4.0,sajay2,4136.0,4.0,0.0
5.0,ams22,4033.0,4.0,0.0
6.0,ir5,3994.0,4.0,0.0
7.0,ncsmith2,3991.0,4.0,0.0
8.0,zc29,3946.0,4.0,0.0
9.0,yiyang19,3926.0,4.0,0.0
10.0,welby2,3868.0,4.0,0.0
11.0,jk36,3856.0,4.0,0.0
12.0,jihyeo2,3801.0,4.0,0.0
13.0,lz15,3791.0,4.0,0.0
14.0,keweis2,3766.0,4.0,0.0
15.0,jessep2,3736.0,4.0,0.0
16.0,arahim2,3610.0,4.0,0.0
17.0,jplacko2,3408.0,4.0,0.0
18.0,tw17,3103.0,3.0,1.0
19.0,zy26,2874.0,3.0,1.0
20.0,aehasan2,2838.0,3.0,1.0
21.0,shreyab4,2806.0,3.0,1.0
22.0,davisp2,2783.0,3.0,1.0
23.0,alyssaf5,2756.0,3.0,1.0
24.0,apillai5,2706.0,3.0,1.0
25.0,mcy2,2678.0,3.0,1.0
26.0,armaanm3,2574.0,3.0,1.0
27.0,jz40,2564.0,3.0,1.0
28.0,linjial2,2513.0,3.0,1.0
29.0,pnl2,2461.0,3.0,1.0
30.0,kanavb2,2411.0,3.0,1.0
31.0,luo42,1926.0,2.0,2.0
32.0,smvarma2,1918.0,2.0,2.0
33.0,nikhilk5,1731.0,2.0,2.0
34.0,Jieshuh2,1563.0,2.0,2.0
35.0,hanxuan5,1481.0,2.0,2.0
36.0,isaacjs2,915.0,1.0,3.0
37.0,yiminw3,790.0,1.0,3.0
38.0,tianyiz8,765.0,1.0,3.0
39.0,linjia long,0.0,0.0,4.0
40.0,lp,0.0,0.0,4.0
41.0,Nikhil,0.0,0.0,4.0
42.0,skwa,0.0,0.0,4.0
43.0,Jessicaam,0.0,0.0,4.0
44.0,Tim,0.0,0.0,4.0
45.0,AZ,0.0,0.0,4.0
