Git Lecture 1,None,None,None,None
Final Scores,None,None,None,None
Rank,Players,Total Score (points),Correct Answers,Incorrect Answers
1.0,jplacko2,4348.0,4.0,0.0
2.0,kanavb2,4331.0,4.0,0.0
3.0,ams22,4316.0,4.0,0.0
4.0,jessep2,4226.0,4.0,0.0
5.0,shreyab4,4203.0,4.0,0.0
6.0,jflemi9,4180.0,4.0,0.0
7.0,rpa2,4151.0,4.0,0.0
8.0,nrk4,4118.0,4.0,0.0
9.0,sajay2,4079.0,4.0,0.0
10.0,nsy2,4058.0,4.0,0.0
11.0,yiyang19,3913.0,4.0,0.0
12.0,apillai5,3883.0,4.0,0.0
13.0,davisp2,3862.0,4.0,0.0
14.0,jz40,3851.0,4.0,0.0
15.0,Armaanm3,3820.0,4.0,0.0
16.0,lz15,3377.0,4.0,0.0
17.0,jihyeo2,3372.0,4.0,0.0
18.0,zhans5,3296.0,4.0,0.0
19.0,alyssaf5,3174.0,3.0,1.0
20.0,mcy2,3143.0,3.0,1.0
21.0,zy26,3126.0,3.0,1.0
22.0,smvarma2,3121.0,3.0,1.0
23.0,welby2,3108.0,3.0,1.0
24.0,ncsmith2,3011.0,3.0,1.0
25.0,cdeng14,2991.0,3.0,1.0
26.0,zc29,2948.0,3.0,1.0
27.0,jieshuh2,2948.0,3.0,1.0
28.0,aehasan2,2915.0,3.0,1.0
29.0,ir5,2801.0,3.0,1.0
30.0,sv23,2752.0,3.0,1.0
31.0,isaacjs2,2748.0,3.0,1.0
32.0,pg12,2619.0,3.0,1.0
33.0,pnl2,2615.0,3.0,1.0
34.0,keweis2,2591.0,3.0,1.0
35.0,luo42,2565.0,3.0,1.0
36.0,ejr2,2552.0,3.0,1.0
37.0,arahim2,2460.0,3.0,1.0
38.0,tianyiz8,2408.0,3.0,1.0
39.0,Jk36,2293.0,3.0,1.0
40.0,weixia3,1888.0,2.0,2.0
41.0,linjial2,1833.0,2.0,2.0
42.0,Danis,950.0,1.0,3.0
43.0,yiminw3,833.0,1.0,3.0
44.0,Lauren,668.0,1.0,3.0
